STREET_NAME
ACCESO A LA COLONIA MARCONI
ACCESO AL PARQUE DE LA ELIPA
AEROPUERTO DE ADOLFO SUAREZ MADRID BARAJAS
ARROYO DEL CANALILLO
AVENIDA  CENTRAL
AVENIDA  COMPLUTENSE
AVENIDA  CUARTA
AVENIDA  DONOSTIARRA
AVENIDA  EJE CENTRAL
AVENIDA  ENTREVIAS
AVENIDA  FIN DE SEMANA
AVENIDA  GENERAL
AVENIDA  LABORAL
AVENIDA  OROVILLA
AVENIDA  PRIMERA
AVENIDA  PRINCIPAL
AVENIDA  PROVISIONAL AHIJONES BERROCALES CINCO
AVENIDA  PROVISIONAL AHIJONES BERROCALES CUATRO
AVENIDA  PROVISIONAL AHIJONES BERROCALES DOS
AVENIDA  PROVISIONAL AHIJONES BERROCALES UNO
AVENIDA  PROVISIONAL AHIJONES DIEZ
AVENIDA  PROVISIONAL AHIJONES NUEVE
AVENIDA  PROVISIONAL AHIJONES SEIS
AVENIDA  PROVISIONAL AHIJONES SIETE
AVENIDA  PROVISIONAL BERROCALES TRES
AVENIDA  PROVISIONAL GRAN VIA DE VICALVARO
AVENIDA  QUINTA
AVENIDA  REAL
AVENIDA  REAL DE PINTO
AVENIDA  SEGUNDA
AVENIDA  SEPTIMA
AVENIDA  SEXTA
AVENIDA  SUR DEL AEROPUERTO DE BARAJAS
AVENIDA  TERCERA
AVENIDA DE ABRANTES
AVENIDA DE ALBERTO ALCOCER
AVENIDA DE ALEJANDRO DE LA SOTA
AVENIDA DE ALFONSO PEÑA BOEUF
AVENIDA DE ALFONSO XIII
AVENIDA DE AMERICA
AVENIDA DE ANDALUCIA
AVENIDA DE ANGEL SANZ BRIZ
AVENIDA DE ARAGON
AVENIDA DE ARCENTALES
AVENIDA DE ARGANZUELA MERCAMADRID
AVENIDA DE ASTURIAS
AVENIDA DE BADAJOZ
AVENIDA DE BAVIERA
AVENIDA DE BETANZOS
AVENIDA DE BLAS DE LEZO
AVENIDA DE BONN
AVENIDA DE BRASIL
AVENIDA DE BRASILIA
AVENIDA DE BRUSELAS
AVENIDA DE BUCARAMANGA
AVENIDA DE BUENOS AIRES
AVENIDA DE BURGOS
AVENIDA DE CAMILO JOSE CELA
AVENIDA DE CANILLEJAS A VICALVARO
AVENIDA DE CANTABRIA
AVENIDA DE CARABANCHEL ALTO
AVENIDA DE CARONDELET
AVENIDA DE CARTAGENA DE INDIAS
AVENIDA DE CELIO VILLALBA
AVENIDA DE CERVANTES
AVENIDA DE CHAMPAGNAT
AVENIDA DE CONCHA ESPINA
AVENIDA DE CORDOBA
AVENIDA DE DAROCA
AVENIDA DE EL FERROL
AVENIDA DE EUROPA
AVENIDA DE FELIPE II
AVENIDA DE FERMINA SEVILLANO
AVENIDA DE FILIPINAS
AVENIDA DE FRANCISCO JAVIER SAENZ DE OIZA
AVENIDA DE FRANCISCO PI Y MARGALL
AVENIDA DE FUENTELARREYNA
AVENIDA DE GREGORIO DEL AMO
AVENIDA DE GUADALAJARA
AVENIDA DE GUMERSINDO LLORENTE
AVENIDA DE HELLIN
AVENIDA DE ISABEL DE VALOIS
AVENIDA DE JACA
AVENIDA DE JOAQUIN GARRIGUES WALKER
AVENIDA DE JOSE ANTONIO CORRALES
AVENIDA DE JUAN ANDRES
AVENIDA DE JUAN ANTONIO SAMARANCH
AVENIDA DE JUAN DE HERRERA
AVENIDA DE LA ALBUFERA
AVENIDA DE LA AURORA BOREAL
AVENIDA DE LA AVIACION
AVENIDA DE LA BARRANQUILLA
AVENIDA DE LA CAPITAL DE ESPAÑA MADRID
AVENIDA DE LA CASA QUEMADA
AVENIDA DE LA CIUDAD DE BARCELONA
AVENIDA DE LA DEMOCRACIA
AVENIDA DE LA EMPERATRIZ ISABEL
AVENIDA DE LA ESPINELA
AVENIDA DE LA ESTACION
AVENIDA DE LA FELICIDAD
AVENIDA DE LA FUENTE DE LA MORA
